,ID,Congressional District,Call Date,Disposition,Q1
3015,132369,10,10/01/2020,Left Message,Undecided
3016,149133,6,10/02/2020,Left Message,Undecided
3017,80705,14,09/29/2020,Left Message,Undecided
3018,74673,12,09/29/2020,Left Message,Undecided
3019,141005,2,10/02/2020,Left Message,Undecided
3020,9743,1,09/28/2020,Left Message,Undecided
3021,68814,11,09/29/2020,Bad Number,Undecided
3022,37504,11,09/28/2020,Answered,Refused
3023,121646,2,10/01/2020,Left Message,Undecided
3024,85128,15,09/29/2020,Answered,Refused
3025,150633,6,10/02/2020,Left Message,Undecided
3026,64111,9,09/29/2020,Left Message,Undecided
3027,35887,10,09/28/2020,Left Message,Undecided
3028,5374,1,09/28/2020,Wrong Number,Undecided
3029,128245,2,10/01/2020,Left Message,Undecided
3030,5682,1,09/28/2020,Wrong Number,Undecided
3031,153725,6,10/02/2020,Answered,Refused
3032,148211,5,10/02/2020,Left Message,Undecided
